Target,R2,MAE,SMAPE
Torque (Nm),-3.747702121734619,7.28342342376709,171.44029
I.P (kW),-386.6440124511719,18.549943923950195,200.0
B.P (kW),-27.925304412841797,2.849573850631714,113.39452
F.P (kW),-6.758540153503418,3.852175235748291,87.80508
I.M.E.P (bar),-40.8582763671875,7.709267616271973,139.89664
B.M.E.P (bar),-256.9661865234375,10.484016418457031,200.0
F.M.E.P (bar),-8.18954849243164,4.761178016662598,84.81239
Air (mg/stroke),-539.4390869140625,291.2377624511719,200.0
Air (kg/h),-1235.683837890625,18.32565689086914,122.00773
Fuel (mg/stroke),-13478314.0,52.42790985107422,200.0
Fuel (kg/h),-34630304.0,6.696619987487793,181.23076
H.S.F (kg/h),-168748.734375,1.8623504638671875,71.5265
S.F.C (kg/kWh),-26.78032684326172,0.4494726061820984,105.23274
A/F Ratio,-2616.093994140625,67.10343933105469,176.11485
Vol.Effi. (%),-2168.152587890625,80.83340454101562,200.0
I.T.Effi. (%),-97.38719940185547,207.47604370117188,198.57617
B.T.Effi. (%),-9.230353355407715,41.71251678466797,200.0
Mech.Effi. (%),-1.3162760734558105,19.312822341918945,85.644875
H.b.p (%),-0.982758641242981,14.414119720458984,45.962482
H.e.j.c.w (%),-315.98797607421875,54.03660583496094,153.32938
H. red (%),-418.2841796875,1525.3919677734375,200.0
H. gas (%),-707.5253295898438,1536.086669921875,200.0
