Target,MAE,SMAPE_%
Torque (Nm),3.4503334,45.343155
I.P (kW),0.69134474,9.2810335
B.P (kW),0.35278752,33.276413
F.P (kW),1.5087795,24.859814
I.M.E.P (bar),1.2098246,13.030253
B.M.E.P (bar),0.58426774,40.592403
F.M.E.P (bar),1.6710389,21.649065
Air (mg/stroke),8.933517,3.22145
Air (kg/h),0.3237257,1.3313875
Fuel (mg/stroke),1.7260418,4.405581
Fuel (kg/h),0.01671347,4.9780865
H.S.F (kg/h),0.19445455,5.4557757
S.F.C (kg/kWh),0.08465156,18.902182
A/F Ratio,2.6546822,3.6502302
Vol.Effi. (%),1.2110367,1.7182705
I.T.Effi. (%),15.869583,7.6742053
B.T.Effi. (%),10.351471,35.505108
Mech.Effi. (%),17.641659,77.75787
H.b.p (%),12.450846,40.600338
H.e.j.c.w (%),6.1910915,9.577993
H. red (%),125.50043,8.03594
H. gas (%),96.33307,6.190068
