Target,MAE,SMAPE_%
Torque (Nm),3.3027308,43.5894
I.P (kW),0.7654164,10.258094
B.P (kW),0.24440673,26.823887
F.P (kW),0.9486351,14.951986
I.M.E.P (bar),0.79239607,8.51878
B.M.E.P (bar),0.4142258,30.715862
F.M.E.P (bar),0.91977596,11.481075
Air (mg/stroke),7.7511444,2.789053
Air (kg/h),0.30338097,1.2483757
Fuel (mg/stroke),1.2838211,3.2529857
Fuel (kg/h),0.013484165,3.9960299
H.S.F (kg/h),0.12796998,3.5654902
S.F.C (kg/kWh),0.09370436,22.28035
A/F Ratio,2.1090393,2.909473
Vol.Effi. (%),1.1187286,1.584251
I.T.Effi. (%),4.310501,1.9653931
B.T.Effi. (%),9.20816,32.69652
Mech.Effi. (%),8.241655,49.091434
H.b.p (%),7.002021,26.79292
H.e.j.c.w (%),5.8678265,9.118242
H. red (%),74.1308,4.8801126
H. gas (%),73.78229,4.7942953
