Target,NSE,PBIAS_%,MAE
Torque (Nm),-0.07628894,-12.09781,3.507143020629883
I.P (kW),-0.08797014,3.8010578,0.9428572654724121
B.P (kW),-0.077049375,-12.306135,0.5309523344039917
F.P (kW),-0.08995521,7.1764154,1.4738094806671143
I.M.E.P (bar),-0.10489476,4.2014384,1.209524154663086
B.M.E.P (bar),-0.075923085,-11.907169,0.6595238447189331
F.M.E.P (bar),-0.092568755,7.3766284,1.8928570747375488
Air (mg/stroke),-0.11716986,1.5674014,12.53570556640625
Air (kg/h),-0.10348618,0.69375426,0.5214290618896484
Fuel (mg/stroke),-11309.849,3.1906855,1.2799205780029297
Fuel (kg/h),-196.55153,1.9666563,0.014568120241165161
H.S.F (kg/h),-800.7306,3.490784,0.1278291940689087
S.F.C (kg/kWh),-0.31842172,15.800084,0.11666667461395264
A/F Ratio,-8.999696,-5.59757,4.01092529296875
Vol.Effi. (%),-0.11722362,0.84697294,1.7357139587402344
I.T.Effi. (%),-0.07014489,-2.6826966,21.00714111328125
B.T.Effi. (%),-0.1942693,-18.715338,13.799999237060547
Mech.Effi. (%),-0.08303809,-19.626097,17.369049072265625
H.b.p (%),-0.1942693,-18.715338,13.799999237060547
H.e.j.c.w (%),-5.279481,-11.706392,7.282770156860352
H. red (%),-1.8870313,-7.2848573,110.6973876953125
H. gas (%),-2.1041856,-5.5070577,83.974365234375
