Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9,Cycle10
2.011,1.972,1.99,2.02,2.03,2.152,2.032,2.005,2.04,2.029
2.033,1.998,2.027,2.053,2.036,2.194,2.054,2.044,2.072,2.025
2.05,2.021,2.078,2.061,2.04,2.226,2.08,2.069,2.078,2.036
2.064,2.049,2.107,2.062,2.05,2.274,2.096,2.056,2.088,2.042
2.086,2.07,2.12,2.072,2.081,2.328,2.105,2.056,2.103,2.065
2.101,2.076,2.128,2.096,2.129,2.393,2.132,2.049,2.122,2.1
2.125,2.099,2.148,2.14,2.175,2.447,2.166,2.059,2.149,2.129
2.164,2.137,2.187,2.202,2.238,2.538,2.197,2.069,2.182,2.158
2.205,2.196,2.245,2.269,2.276,2.599,2.235,2.132,2.244,2.188
2.256,2.243,2.324,2.321,2.319,2.657,2.281,2.183,2.293,2.234
2.31,2.286,2.399,2.369,2.337,2.724,2.332,2.235,2.367,2.3
2.362,2.335,2.46,2.402,2.391,2.788,2.397,2.29,2.425,2.368
2.417,2.386,2.492,2.444,2.439,2.833,2.467,2.341,2.484,2.434
2.463,2.476,2.542,2.526,2.562,2.881,2.574,2.404,2.525,2.473
2.544,2.553,2.614,2.615,2.643,2.906,2.653,2.429,2.582,2.52
2.619,2.623,2.7,2.7,2.706,2.949,2.719,2.508,2.662,2.577
2.692,2.684,2.775,2.772,2.757,2.974,2.756,2.588,2.746,2.654
2.729,2.724,2.823,2.804,2.805,2.998,2.788,2.658,2.787,2.721
2.76,2.778,2.864,2.847,2.872,3.007,2.835,2.725,2.84,2.78
2.801,2.798,2.881,2.874,2.922,3.008,2.88,2.783,2.856,2.824
2.833,2.83,2.909,2.916,2.976,2.99,2.925,2.847,2.895,2.85
2.856,2.854,2.927,2.953,2.994,2.962,2.951,2.888,2.917,2.888
2.876,2.891,2.962,2.986,3.009,2.928,2.97,2.915,2.935,2.899
2.901,2.912,2.987,2.991,3.01,2.902,2.981,2.918,2.951,2.914
2.906,2.92,3.01,2.981,3.021,2.895,2.981,2.926,2.959,2.922
2.909,2.898,3.002,2.958,3.038,2.874,2.966,2.93,2.95,2.935
2.899,2.874,2.986,2.945,3.04,2.83,2.952,2.945,2.928,2.931
2.878,2.849,2.948,2.935,3.012,2.776,2.94,2.948,2.898,2.912
2.841,2.823,2.918,2.927,2.971,2.704,2.916,2.934,2.868,2.886
2.808,2.801,2.885,2.907,2.914,2.632,2.881,2.903,2.844,2.854
2.776,2.788,2.846,2.867,2.851,2.563,2.832,2.873,2.826,2.814
2.74,2.753,2.788,2.805,2.778,2.506,2.77,2.839,2.799,2.77
2.681,2.679,2.736,2.736,2.724,2.445,2.705,2.814,2.743,2.734
2.614,2.588,2.673,2.67,2.672,2.375,2.641,2.779,2.675,2.694
2.527,2.495,2.611,2.607,2.633,2.301,2.596,2.74,2.599,2.644
2.439,2.41,2.53,2.539,2.591,2.226,2.545,2.674,2.529,2.582
2.375,2.342,2.458,2.46,2.54,2.16,2.489,2.604,2.45,2.518
2.331,2.295,2.392,2.383,2.476,2.095,2.428,2.534,2.384,2.446
2.292,2.283,2.319,2.308,2.385,2.044,2.371,2.462,2.321,2.378
2.241,2.244,2.258,2.226,2.308,1.997,2.301,2.395,2.264,2.311
2.184,2.194,2.202,2.166,2.242,1.935,2.222,2.343,2.198,2.257
