Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9,Cycle10
1.875,1.836,1.856,1.851,1.867,1.808,1.876,1.821,1.826,1.889
1.909,1.86,1.871,1.878,1.859,1.809,1.886,1.854,1.834,1.904
1.92,1.894,1.886,1.896,1.863,1.813,1.898,1.881,1.853,1.91
1.936,1.939,1.898,1.91,1.89,1.834,1.909,1.906,1.876,1.922
1.937,1.969,1.929,1.923,1.924,1.876,1.924,1.929,1.904,1.934
1.961,1.994,1.961,1.951,1.97,1.946,1.954,1.951,1.943,1.964
2.017,2.017,2.005,1.994,2.002,1.991,2.003,1.981,1.985,2.007
2.067,2.064,2.057,2.046,2.041,2.034,2.055,2.024,2.016,2.059
2.12,2.114,2.111,2.097,2.088,2.056,2.105,2.079,2.042,2.118
2.184,2.187,2.141,2.146,2.131,2.082,2.145,2.133,2.082,2.163
2.259,2.26,2.168,2.192,2.188,2.118,2.18,2.19,2.147,2.211
2.341,2.342,2.211,2.244,2.222,2.145,2.223,2.256,2.225,2.266
2.387,2.384,2.303,2.323,2.309,2.248,2.268,2.333,2.318,2.343
2.424,2.43,2.378,2.387,2.374,2.329,2.357,2.408,2.362,2.426
2.464,2.491,2.473,2.455,2.441,2.394,2.429,2.458,2.412,2.498
2.52,2.538,2.539,2.521,2.497,2.469,2.495,2.527,2.437,2.563
2.571,2.586,2.599,2.574,2.561,2.537,2.552,2.587,2.496,2.597
2.631,2.649,2.658,2.641,2.619,2.606,2.596,2.653,2.562,2.639
2.673,2.692,2.679,2.674,2.666,2.675,2.674,2.69,2.62,2.664
2.699,2.737,2.715,2.709,2.695,2.709,2.726,2.712,2.658,2.707
2.722,2.76,2.739,2.722,2.692,2.742,2.788,2.704,2.687,2.738
2.749,2.784,2.767,2.733,2.697,2.743,2.812,2.697,2.706,2.764
2.78,2.774,2.773,2.748,2.689,2.747,2.836,2.671,2.719,2.774
2.798,2.766,2.77,2.757,2.687,2.75,2.831,2.669,2.716,2.775
