Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9,Cycle10
2.52,2.546,2.424,2.478,2.421,2.472,2.469,2.481,2.39,2.451
2.595,2.602,2.475,2.532,2.471,2.532,2.53,2.535,2.462,2.502
2.648,2.637,2.542,2.58,2.538,2.578,2.581,2.59,2.519,2.568
2.7,2.7,2.603,2.653,2.585,2.631,2.613,2.619,2.557,2.613
2.741,2.743,2.661,2.702,2.661,2.675,2.654,2.666,2.614,2.675
2.774,2.806,2.702,2.739,2.726,2.716,2.672,2.704,2.658,2.725
2.804,2.844,2.726,2.765,2.785,2.746,2.723,2.747,2.704,2.774
2.834,2.869,2.738,2.781,2.808,2.766,2.75,2.779,2.72,2.805
2.875,2.865,2.738,2.773,2.813,2.767,2.78,2.808,2.72,2.83
2.889,2.86,2.736,2.774,2.827,2.763,2.779,2.814,2.711,2.836
2.878,2.834,2.741,2.771,2.822,2.745,2.768,2.812,2.711,2.844
2.856,2.817,2.739,2.785,2.813,2.728,2.768,2.799,2.706,2.838
2.821,2.792,2.725,2.764,2.809,2.712,2.767,2.796,2.703,2.841
2.79,2.768,2.698,2.73,2.795,2.705,2.747,2.791,2.695,2.831
2.754,2.734,2.66,2.681,2.76,2.679,2.707,2.78,2.654,2.807
2.731,2.7,2.611,2.631,2.708,2.652,2.666,2.751,2.607,2.756
2.695,2.649,2.564,2.578,2.66,2.623,2.616,2.698,2.556,2.712
2.648,2.596,2.522,2.529,2.611,2.577,2.562,2.628,2.512,2.647
2.594,2.539,2.479,2.483,2.561,2.519,2.502,2.565,2.477,2.591
2.523,2.493,2.435,2.434,2.51,2.449,2.455,2.518,2.446,2.543
2.449,2.452,2.377,2.378,2.452,2.373,2.407,2.476,2.4,2.51
2.392,2.392,2.314,2.318,2.397,2.304,2.345,2.421,2.326,2.45
2.35,2.321,2.239,2.241,2.334,2.248,2.274,2.356,2.23,2.387
2.309,2.245,2.173,2.172,2.281,2.207,2.194,2.284,2.143,2.307
2.261,2.172,2.122,2.111,2.199,2.166,2.126,2.219,2.084,2.234
2.198,2.1,2.071,2.061,2.128,2.113,2.055,2.156,2.038,2.16
2.133,2.029,2.015,2.013,2.074,2.045,2.012,2.101,1.986,2.104
2.04,1.97,1.957,1.964,2.016,1.969,1.968,2.054,1.941,2.057
1.973,1.919,1.906,1.913,1.963,1.884,1.935,1.988,1.897,2.008
1.905,1.862,1.851,1.856,1.902,1.821,1.878,1.932,1.845,1.932
1.855,1.808,1.799,1.799,1.848,1.776,1.821,1.858,1.784,1.856
1.803,1.724,1.744,1.732,1.789,1.733,1.748,1.785,1.724,1.787
1.744,1.695,1.707,1.686,1.735,1.683,1.69,1.701,1.674,1.73
1.696,1.659,1.659,1.664,1.689,1.634,1.624,1.642,1.631,1.687
1.656,1.648,1.624,1.64,1.66,1.584,1.589,1.616,1.605,1.66
1.62,1.603,1.591,1.609,1.611,1.543,1.564,1.59,1.574,1.632
1.58,1.575,1.56,1.549,1.566,1.516,1.555,1.572,1.54,1.605
1.546,1.546,1.514,1.517,1.505,1.5,1.541,1.534,1.513,1.559
1.532,1.538,1.487,1.488,1.455,1.481,1.514,1.512,1.483,1.521
1.515,1.499,1.48,1.474,1.399,1.468,1.484,1.483,1.456,1.493
1.501,1.488,1.471,1.465,1.415,1.459,1.453,1.463,1.423,1.482
1.491,1.47,1.479,1.48,1.425,1.451,1.423,1.44,1.398,1.491
1.48,1.481,1.456,1.483,1.436,1.415,1.417,1.431,1.391,1.487
1.471,1.473,1.446,1.478,1.429,1.4,1.416,1.429,1.389,1.482
1.459,1.466,1.419,1.446,1.425,1.4,1.419,1.426,1.402,1.464
1.467,1.465,1.412,1.42,1.419,1.405,1.416,1.424,1.413,1.441
1.484,1.453,1.414,1.4,1.417,1.408,1.394,1.417,1.411,1.424
1.497,1.451,1.416,1.402,1.412,1.403,1.379,1.405,1.412,1.409
1.499,1.449,1.407,1.412,1.396,1.391,1.379,1.389,1.411,1.407
1.488,1.446,1.405,1.431,1.397,1.385,1.397,1.383,1.42,1.395
1.476,1.438,1.402,1.433,1.404,1.386,1.406,1.391,1.422,1.385
1.466,1.434,1.398,1.437,1.415,1.396,1.407,1.402,1.423,1.385
1.453,1.431,1.392,1.433,1.423,1.39,1.416,1.407,1.413,1.403
1.446,1.437,1.403,1.424,1.433,1.396,1.407,1.403,1.406,1.421
1.451,1.434,1.412,1.417,1.424,1.395,1.402,1.402,1.397,1.442
1.462,1.431,1.426,1.421,1.412,1.39,1.404,1.388,1.39,1.451
1.467,1.441,1.439,1.431,1.4,1.385,1.417,1.381,1.395,1.448
1.479,1.44,1.446,1.436,1.403,1.381,1.419,1.385,1.398,1.428
1.471,1.443,1.431,1.439,1.422,1.394,1.416,1.392,1.398,1.417
1.457,1.449,1.433,1.447,1.434,1.409,1.415,1.408,1.404,1.396
1.447,1.445,1.446,1.448,1.439,1.413,1.399,1.416,1.413,1.402
1.447,1.437,1.463,1.44,1.443,1.417,1.39,1.413,1.411,1.403
1.451,1.438,1.48,1.433,1.443,1.419,1.39,1.403,1.422,1.423
1.456,1.451,1.474,1.429,1.441,1.411,1.392,1.396,1.434,1.433
1.462,1.453,1.466,1.436,1.417,1.403,1.389,1.386,1.459,1.436
1.467,1.459,1.446,1.445,1.422,1.411,1.405,1.385,1.476,1.436
1.457,1.459,1.438,1.443,1.437,1.432,1.419,1.405,1.478,1.426
1.458,1.449,1.44,1.442,1.453,1.459,1.446,1.421,1.455,1.415
1.466,1.438,1.451,1.432,1.447,1.451,1.445,1.437,1.431,1.413
1.49,1.434,1.458,1.432,1.44,1.44,1.426,1.43,1.416,1.424
1.495,1.439,1.465,1.446,1.432,1.417,1.421,1.429,1.411,1.44
1.491,1.446,1.463,1.457,1.42,1.413,1.422,1.419,1.422,1.456
1.48,1.461,1.462,1.463,1.415,1.411,1.434,1.416,1.43,1.462
1.476,1.464,1.45,1.45,1.421,1.42,1.429,1.425,1.44,1.457
1.474,1.478,1.453,1.449,1.431,1.428,1.428,1.43,1.445,1.454
1.478,1.476,1.465,1.439,1.432,1.443,1.421,1.429,1.434,1.443
1.485,1.468,1.473,1.436,1.423,1.455,1.413,1.436,1.423,1.439
1.488,1.449,1.47,1.442,1.424,1.457,1.396,1.421,1.422,1.445
1.491,1.459,1.455,1.445,1.429,1.428,1.38,1.406,1.428,1.445
1.487,1.478,1.459,1.443,1.436,1.404,1.408,1.402,1.432,1.451
1.496,1.48,1.458,1.439,1.445,1.399,1.405,1.414,1.445,1.45
1.489,1.471,1.461,1.429,1.449,1.408,1.419,1.436,1.449,1.451
1.501,1.465,1.455,1.423,1.442,1.43,1.422,1.445,1.446,1.443
1.507,1.455,1.457,1.437,1.436,1.447,1.436,1.436,1.441,1.431
1.5,1.455,1.473,1.441,1.43,1.448,1.431,1.419,1.437,1.42
1.489,1.461,1.49,1.447,1.426,1.448,1.423,1.414,1.442,1.414
1.475,1.464,1.504,1.453,1.43,1.437,1.42,1.413,1.473,1.43
1.489,1.489,1.488,1.461,1.462,1.425,1.425,1.436,1.478,1.437
1.507,1.489,1.467,1.456,1.478,1.422,1.443,1.458,1.473,1.453
1.538,1.488,1.468,1.448,1.48,1.431,1.461,1.48,1.451,1.453
1.55,1.48,1.473,1.453,1.48,1.436,1.484,1.467,1.431,1.454
1.542,1.475,1.475,1.467,1.475,1.432,1.473,1.466,1.424,1.453
1.514,1.467,1.485,1.497,1.461,1.44,1.473,1.441,1.431,1.449
1.49,1.472,1.487,1.512,1.453,1.446,1.47,1.436,1.445,1.462
1.476,1.481,1.502,1.516,1.465,1.458,1.468,1.445,1.466,1.466
1.478,1.509,1.513,1.513,1.476,1.461,1.476,1.458,1.487,1.48
1.483,1.531,1.522,1.51,1.489,1.456,1.488,1.472,1.491,1.496
1.5,1.555,1.516,1.497,1.495,1.458,1.502,1.468,1.478,1.515
1.51,1.571,1.514,1.485,1.488,1.465,1.502,1.472,1.465,1.524
1.548,1.567,1.518,1.485,1.488,1.487,1.5,1.47,1.471,1.532
1.561,1.556,1.532,1.509,1.488,1.502,1.508,1.472,1.492,1.508
1.571,1.555,1.537,1.527,1.493,1.507,1.512,1.462,1.53,1.501
1.557,1.569,1.531,1.546,1.509,1.501,1.518,1.47,1.564,1.507
1.567,1.569,1.532,1.549,1.524,1.491,1.52,1.483,1.564,1.516
1.581,1.551,1.529,1.542,1.526,1.488,1.531,1.505,1.547,1.525
1.598,1.529,1.527,1.52,1.538,1.49,1.534,1.526,1.52,1.521
1.598,1.51,1.522,1.513,1.542,1.499,1.522,1.529,1.499,1.517
1.592,1.498,1.525,1.516,1.537,1.517,1.525,1.516,1.491,1.507
1.589,1.517,1.542,1.541,1.521,1.515,1.517,1.505,1.495,1.509
1.576,1.558,1.558,1.556,1.517,1.508,1.51,1.507,1.508,1.521
1.581,1.586,1.564,1.563,1.524,1.501,1.52,1.508,1.514,1.546
1.557,1.606,1.565,1.566,1.533,1.498,1.531,1.52,1.514,1.549
1.561,1.601,1.56,1.558,1.537,1.509,1.546,1.521,1.516,1.555
1.574,1.6,1.558,1.563,1.541,1.516,1.552,1.527,1.507,1.551
1.603,1.576,1.56,1.558,1.55,1.531,1.547,1.537,1.514,1.54
1.615,1.573,1.566,1.564,1.543,1.539,1.54,1.539,1.531,1.529
1.607,1.565,1.575,1.564,1.537,1.555,1.537,1.534,1.561,1.542
1.585,1.573,1.588,1.578,1.544,1.549,1.532,1.538,1.584,1.568
1.578,1.578,1.597,1.566,1.549,1.535,1.546,1.546,1.583,1.584
1.573,1.577,1.577,1.565,1.567,1.535,1.557,1.56,1.577,1.585
1.573,1.573,1.559,1.574,1.573,1.55,1.566,1.557,1.557,1.584
1.573,1.565,1.552,1.578,1.576,1.555,1.574,1.561,1.56,1.568
1.575,1.552,1.55,1.577,1.577,1.558,1.583,1.567,1.558,1.56
1.583,1.552,1.555,1.576,1.574,1.566,1.582,1.563,1.568,1.564
1.597,1.571,1.557,1.576,1.554,1.559,1.568,1.552,1.576,1.59
1.613,1.585,1.59,1.586,1.552,1.549,1.574,1.555,1.586,1.591
1.623,1.594,1.6,1.603,1.569,1.542,1.569,1.552,1.593,1.594
1.605,1.597,1.6,1.609,1.597,1.539,1.577,1.573,1.588,1.581
1.602,1.597,1.601,1.614,1.62,1.546,1.578,1.581,1.583,1.574
1.609,1.589,1.602,1.589,1.614,1.557,1.576,1.581,1.59,1.566
1.642,1.581,1.61,1.56,1.603,1.564,1.591,1.588,1.588,1.573
1.661,1.581,1.61,1.546,1.596,1.568,1.575,1.582,1.584,1.6
1.669,1.598,1.606,1.54,1.583,1.574,1.569,1.58,1.578,1.626
1.652,1.611,1.6,1.547,1.583,1.568,1.565,1.571,1.589,1.63
1.65,1.616,1.599,1.551,1.576,1.568,1.586,1.567,1.601,1.625
1.625,1.609,1.606,1.58,1.59,1.573,1.592,1.588,1.619,1.614
1.62,1.594,1.616,1.602,1.591,1.577,1.617,1.602,1.631,1.592
1.633,1.594,1.628,1.615,1.598,1.577,1.614,1.609,1.624,1.592
1.644,1.596,1.63,1.62,1.596,1.567,1.598,1.615,1.603,1.599
1.644,1.608,1.616,1.64,1.601,1.567,1.589,1.606,1.596,1.615
1.649,1.628,1.607,1.654,1.585,1.576,1.592,1.594,1.607,1.628
1.647,1.636,1.606,1.66,1.594,1.598,1.6,1.583,1.643,1.652
1.647,1.643,1.615,1.654,1.613,1.627,1.614,1.593,1.656,1.657
1.636,1.64,1.62,1.633,1.637,1.657,1.614,1.601,1.661,1.649
1.648,1.628,1.634,1.615,1.632,1.634,1.607,1.603,1.635,1.634
1.657,1.627,1.633,1.61,1.615,1.615,1.61,1.609,1.614,1.633
1.673,1.625,1.643,1.62,1.605,1.597,1.607,1.61,1.603,1.642
1.679,1.64,1.656,1.641,1.58,1.598,1.619,1.602,1.605,1.652
1.691,1.635,1.657,1.64,1.577,1.605,1.644,1.603,1.616,1.668
1.677,1.642,1.649,1.64,1.584,1.609,1.649,1.609,1.633,1.666
1.669,1.641,1.64,1.637,1.602,1.623,1.654,1.623,1.635,1.673
1.677,1.664,1.649,1.645,1.631,1.637,1.653,1.641,1.633,1.648
1.693,1.67,1.648,1.636,1.647,1.643,1.645,1.644,1.62,1.633
1.699,1.664,1.664,1.64,1.653,1.639,1.635,1.631,1.62,1.639
1.69,1.65,1.668,1.647,1.654,1.624,1.623,1.625,1.618,1.656
1.675,1.633,1.67,1.662,1.647,1.605,1.633,1.619,1.627,1.678
1.662,1.64,1.643,1.678,1.653,1.582,1.641,1.632,1.633,1.673
1.667,1.654,1.632,1.67,1.667,1.581,1.652,1.632,1.636,1.673
1.67,1.669,1.628,1.649,1.679,1.601,1.65,1.631,1.636,1.664
1.681,1.668,1.644,1.635,1.677,1.63,1.641,1.631,1.637,1.649
1.69,1.665,1.67,1.64,1.67,1.65,1.631,1.635,1.639,1.637
1.708,1.651,1.685,1.659,1.659,1.647,1.622,1.631,1.636,1.641
1.701,1.643,1.69,1.664,1.645,1.643,1.641,1.641,1.648,1.643
1.691,1.639,1.683,1.651,1.642,1.628,1.643,1.652,1.665,1.651
1.681,1.651,1.679,1.648,1.642,1.632,1.659,1.677,1.678,1.658
1.682,1.657,1.672,1.643,1.661,1.634,1.662,1.679,1.679,1.669
1.712,1.659,1.665,1.645,1.665,1.664,1.67,1.666,1.674,1.674
1.724,1.656,1.661,1.645,1.666,1.673,1.666,1.654,1.658,1.669
1.729,1.652,1.667,1.648,1.653,1.668,1.662,1.644,1.654,1.66
1.713,1.654,1.677,1.659,1.648,1.652,1.648,1.651,1.653,1.659
1.702,1.656,1.682,1.668,1.652,1.649,1.62,1.662,1.666,1.666
1.693,1.674,1.682,1.687,1.684,1.649,1.617,1.678,1.686,1.676
1.7,1.683,1.676,1.695,1.687,1.649,1.636,1.69,1.691,1.682
1.715,1.691,1.674,1.674,1.694,1.66,1.676,1.716,1.686,1.682
1.717,1.693,1.675,1.662,1.681,1.676,1.701,1.708,1.673,1.682
1.711,1.706,1.686,1.659,1.668,1.682,1.71,1.679,1.668,1.676
1.702,1.699,1.698,1.67,1.66,1.677,1.711,1.645,1.676,1.681
1.683,1.699,1.702,1.678,1.664,1.669,1.712,1.639,1.687,1.704
1.669,1.702,1.699,1.682,1.678,1.651,1.707,1.633,1.7,1.735
1.69,1.702,1.694,1.682,1.686,1.643,1.699,1.631,1.715,1.741
1.717,1.703,1.689,1.683,1.689,1.642,1.69,1.636,1.711,1.73
1.738,1.703,1.69,1.69,1.677,1.659,1.694,1.651,1.701,1.708
1.751,1.695,1.694,1.691,1.675,1.681,1.715,1.672,1.696,1.7
1.743,1.691,1.704,1.711,1.66,1.695,1.723,1.69,1.707,1.699
1.725,1.696,1.713,1.712,1.662,1.69,1.72,1.708,1.72,1.701
1.716,1.717,1.718,1.724,1.667,1.674,1.699,1.712,1.745,1.715
1.709,1.729,1.73,1.725,1.682,1.662,1.687,1.717,1.721,1.73
1.717,1.742,1.71,1.721,1.7,1.664,1.687,1.711,1.699,1.738
1.729,1.733,1.706,1.713,1.715,1.676,1.692,1.719,1.662,1.733
1.745,1.715,1.71,1.699,1.72,1.703,1.693,1.696,1.654,1.721
1.76,1.704,1.72,1.696,1.72,1.704,1.684,1.684,1.674,1.717
1.75,1.706,1.728,1.71,1.709,1.698,1.679,1.675,1.721,1.711
1.748,1.728,1.73,1.721,1.704,1.684,1.679,1.683,1.754,1.723
1.744,1.744,1.726,1.724,1.711,1.673,1.684,1.692,1.762,1.718
1.746,1.751,1.728,1.718,1.713,1.678,1.693,1.698,1.751,1.715
1.753,1.763,1.734,1.707,1.719,1.689,1.708,1.702,1.74,1.708
1.775,1.748,1.748,1.704,1.729,1.713,1.71,1.699,1.718,1.69
