Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9,Cycle10
1.78,1.826,1.811,1.768,1.842,1.82,1.757,1.817,1.787,1.77
1.813,1.853,1.825,1.818,1.861,1.824,1.769,1.836,1.801,1.769
1.841,1.881,1.841,1.844,1.885,1.821,1.794,1.854,1.819,1.783
1.86,1.907,1.858,1.88,1.91,1.83,1.83,1.869,1.848,1.802
1.884,1.931,1.886,1.904,1.945,1.851,1.867,1.893,1.906,1.846
1.927,1.966,1.922,1.962,1.991,1.884,1.904,1.923,1.976,1.893
1.993,2.014,1.987,1.996,2.04,1.928,1.949,1.976,2.015,1.941
2.067,2.081,2.05,2.04,2.101,1.978,1.977,2.036,2.049,1.983
2.137,2.14,2.126,2.101,2.165,2.038,2.013,2.098,2.09,2.027
2.18,2.2,2.179,2.18,2.25,2.089,2.045,2.16,2.16,2.059
2.221,2.256,2.234,2.278,2.32,2.151,2.157,2.197,2.249,2.1
2.274,2.328,2.316,2.332,2.382,2.205,2.251,2.258,2.348,2.175
2.335,2.382,2.38,2.391,2.451,2.286,2.319,2.329,2.388,2.276
2.411,2.444,2.449,2.439,2.527,2.351,2.368,2.404,2.429,2.353
2.477,2.512,2.508,2.501,2.586,2.429,2.395,2.467,2.466,2.428
2.532,2.578,2.563,2.544,2.639,2.486,2.43,2.512,2.504,2.475
2.594,2.65,2.607,2.574,2.657,2.536,2.46,2.563,2.555,2.518
2.628,2.699,2.636,2.605,2.678,2.572,2.502,2.593,2.59,2.543
2.648,2.731,2.657,2.635,2.683,2.577,2.537,2.624,2.62,2.582
2.665,2.741,2.673,2.66,2.707,2.597,2.563,2.631,2.631,2.619
2.697,2.75,2.711,2.689,2.726,2.63,2.57,2.643,2.652,2.657
2.724,2.75,2.729,2.687,2.737,2.663,2.542,2.613,2.652,2.671
2.745,2.764,2.74,2.675,2.731,2.688,2.511,2.663,2.663,2.674
2.731,2.763,2.725,2.657,2.722,2.711,2.489,2.666,2.66,2.655
2.692,2.755,2.69,2.646,2.705,2.714,2.47,2.665,2.641,2.62
2.652,2.721,2.65,2.637,2.674,2.7,2.442,2.639,2.614,2.569
2.624,2.691,2.63,2.621,2.618,2.68,2.404,2.621,2.59,2.53
2.598,2.641,2.619,2.601,2.565,2.662,2.369,2.589,2.565,2.496
2.564,2.606,2.599,2.545,2.514,2.622,2.344,2.551,2.555,2.461
2.53,2.564,2.547,2.478,2.468,2.565,2.304,2.495,2.512,2.415
2.466,2.526,2.484,2.399,2.412,2.511,2.248,2.433,2.454,2.357
2.395,2.459,2.413,2.331,2.356,2.446,2.19,2.354,2.37,2.292
2.326,2.386,2.339,2.277,2.289,2.383,2.133,2.283,2.291,2.231
2.266,2.306,2.263,2.222,2.217,2.316,2.062,2.205,2.215,2.18
2.215,2.232,2.192,2.163,2.14,2.257,1.996,2.141,2.163,2.131
2.152,2.165,2.13,2.099,2.09,2.211,1.93,2.076,2.121,2.081
2.081,2.111,2.067,2.036,2.05,2.162,1.869,2.012,2.067,2.024
2.005,2.04,2.013,1.966,1.983,2.107,1.814,1.953,2.011,1.948
1.93,1.981,1.958,1.902,1.91,2.029,1.772,1.91,1.948,1.872
1.865,1.919,1.897,1.854,1.842,1.94,1.742,1.856,1.87,1.799
1.811,1.864,1.822,1.818,1.772,1.846,1.699,1.801,1.791,1.744
1.776,1.805,1.763,1.77,1.712,1.77,1.653,1.759,1.726,1.695
1.748,1.75,1.716,1.716,1.657,1.712,1.584,1.727,1.656,1.662
1.698,1.707,1.665,1.647,1.615,1.676,1.53,1.695,1.599,1.613
1.639,1.649,1.603,1.59,1.576,1.637,1.476,1.651,1.547,1.561
1.572,1.597,1.554,1.533,1.54,1.603,1.437,1.588,1.521,1.51
1.525,1.532,1.515,1.491,1.481,1.551,1.408,1.514,1.496,1.471
