Target,MAE,SMAPE_%
Torque (Nm),3.3256288,43.8321
I.P (kW),0.80305123,10.976081
B.P (kW),0.40394697,37.207634
F.P (kW),1.3213165,21.717161
I.M.E.P (bar),1.4504266,15.638497
B.M.E.P (bar),0.6735507,46.06599
F.M.E.P (bar),1.967799,25.599783
Air (mg/stroke),9.73584,3.5371616
Air (kg/h),0.32172585,1.3273484
Fuel (mg/stroke),1.6367645,4.1667852
Fuel (kg/h),0.0117482245,3.4804366
H.S.F (kg/h),0.13079762,3.6413443
S.F.C (kg/kWh),0.09398557,22.09294
A/F Ratio,1.9310951,2.6675317
Vol.Effi. (%),1.2109985,1.7162504
I.T.Effi. (%),18.942375,9.167602
B.T.Effi. (%),8.647652,30.795956
Mech.Effi. (%),6.8699055,43.128807
H.b.p (%),16.11987,50.589214
H.e.j.c.w (%),4.467184,7.044469
H. red (%),89.1225,5.8086166
H. gas (%),89.55005,5.773833
