iter	RMSE
0	32.16587862
1	31.98789645
2	31.82795697
3	31.66881719
4	31.49129757
5	31.33384109
6	31.15853215
7	31.0027395
8	30.8477258
9	30.69348718
10	30.54001975
11	30.38731965
12	30.21763016
13	30.06654202
14	29.91620931
15	29.74947022
16	29.60072288
17	29.45271926
18	29.30545567
19	29.1589284
20	29.01313376
21	28.86806809
22	28.72372775
23	28.56394271
24	28.4079101
25	28.26587056
26	28.10920491
27	27.96865889
28	27.8288156
29	27.68967153
30	27.53649868
31	27.39881619
32	27.26182211
33	27.11131138
34	26.96192613
35	26.8271165
36	26.67958941
37	26.54619146
38	26.41346051
39	26.28139321
40	26.14998625
41	26.01923632
42	25.87643611
43	25.74705393
44	25.61831866
45	25.49022707
46	25.36277594
47	25.23596206
48	25.10978226
49	24.98423335
50	24.86102387
51	24.73671875
52	24.61303516
53	24.48996999
54	24.36752014
55	24.24568254
56	24.12641239
57	24.00578033
58	23.88575143
59	23.76854544
60	23.64158519
61	23.52337726
62	23.40576038
63	23.29270983
64	23.17624629
65	23.04979338
66	22.93454441
67	22.81987169
68	22.70577234
69	22.59224348
70	22.47928226
71	22.36688585
72	22.25505143
73	22.14377617
74	22.03305729
75	21.92289201
76	21.81327755
77	21.70421117
78	21.59569011
79	21.48771166
80	21.38027311
81	21.27337175
82	21.16700489
83	21.05174885
84	20.94649011
85	20.84175766
86	20.7371426
87	20.63345689
88	20.5302896
89	20.42763816
90	20.32511537
91	20.21467256
92	20.11359919
93	20.0130312
94	19.91260399
95	19.81304097
96	19.7056027
97	19.60707469
98	19.50903931
99	19.41149412
100	19.31443665
101	19.21786447
102	19.12144116
103	19.02583396
104	18.93070479
105	18.83605127
106	18.74187102
107	18.64816166
108	18.55492086
109	18.46214626
110	18.36952617
111	18.27767854
112	18.18629015
113	18.0953587
114	18.00488191
115	17.9148575
116	17.82499418
117	17.73586922
118	17.64718987
119	17.55895392
120	17.47115916
121	17.38380336
122	17.29661473
123	17.21013166
124	17.12382483
125	17.0382057
126	16.95301468
127	16.86824961
128	16.78390836
129	16.69998882
130	16.61648888
131	16.53340643
132	16.4507394
133	16.36848571
134	16.28640987
135	16.20497782
136	16.12395293
137	16.04311333
138	15.96268909
139	15.88287565
140	15.80326465
141	15.72424833
142	15.64562709
143	15.56739896
144	15.48956196
145	15.41211416
146	15.33505359
147	15.25837832
148	15.18190713
149	15.1059976
150	15.03029962
151	14.95514812
152	14.88037238
153	14.80597052
154	14.73194067
155	14.65828097
156	14.58498957
157	14.51191162
158	14.43935206
159	14.3671553
160	14.29531953
161	14.22384293
162	14.15272372
163	14.0819601
164	14.01141147
165	13.94135442
166	13.87164765
167	13.80228941
168	13.73315063
169	13.66448488
170	13.59616245
171	13.52818164
172	13.4604245
173	13.39312238
174	13.32605021
175	13.25941996
176	13.19312286
177	13.12715725
178	13.06152146
179	12.99621386
180	12.93123279
181	12.86657663
182	12.80224375
183	12.73813882
184	12.67444812
185	12.61107588
186	12.54802051
187	12.48528041
188	12.42285401
189	12.36073974
190	12.29893604
191	12.23744136
192	12.17625415
193	12.11537289
194	12.05479602
195	11.99452204
196	11.93454943
197	11.87487669
198	11.81550231
199	11.7564248
200	11.69764267
201	11.63915446
202	11.58095869
203	11.5230539
204	11.46543863
205	11.40811144
206	11.35107088
207	11.29431553
208	11.23784395
209	11.18165473
210	11.12574646
211	11.07011773
212	11.01476714
213	10.95969331
214	10.90489484
215	10.85037037
216	10.79611852
217	10.74213793
218	10.68842724
219	10.63498511
220	10.58181018
221	10.52890113
222	10.47625663
223	10.42387534
224	10.37175597
225	10.31989719
226	10.26829771
227	10.21695622
228	10.16587144
229	10.11504208
230	10.06446687
231	10.01414454
232	9.964073818
233	9.91425345
234	9.864682184
235	9.815358775
236	9.766281982
237	9.717450573
238	9.668863321
239	9.620519006
240	9.572416412
241	9.524554331
242	9.47693156
243	9.429546903
244	9.38239917
245	9.335487175
246	9.28880974
247	9.242365693
248	9.196153865
249	9.150173097
250	9.104422232
251	9.058900122
252	9.013605623
253	8.968537596
254	8.923694909
255	8.879076435
256	8.834681054
257	8.79050765
258	8.746555112
259	8.702822338
260	8.659308227
261	8.616011687
262	8.572931629
263	8.530066972
264	8.487416638
265	8.444979556
266	8.402754659
267	8.360740887
268	8.318937183
269	8.277342498
270	8.235955787
271	8.194776009
272	8.15380213
273	8.11303312
274	8.072467955
275	8.032105616
276	7.991945089
277	7.951985365
278	7.912225439
279	7.872664312
280	7.833300992
281	7.794134488
282	7.755163816
283	7.716387998
284	7.677806059
285	7.639417029
286	7.601219945
287	7.563213846
288	7.525397778
289	7.48777079
290	7.450331937
291	7.413080278
292	7.376014877
293	7.339134804
294	7.30243913
295	7.265926936
296	7.229597302
297	7.193449316
298	7.15748207
299	7.121694661
300	7.086086188
301	7.050655758
302	7.01540248
303	6.980325468
304	6.945423842
305	6.910696723
306	6.876143241
307	6.841762525
308	6.807553713
309	6.773515945
310	6.739648366
311	6.705950125
312	6.672420375
313	6.639058274
314	6.605862984
315	6.57283367
316	6.539969502
317	6.507269655
318	6.474733308
319	6.442359642
320	6.410147844
321	6.378097106
322	6.346206621
323	6.314475589
324	6.282903211
325	6.251488696
326	6.220231253
327	6.189130098
328	6.158184448
329	6.127393526
330	6.096756559
331	6.066272777
332	6.035941414
333	6.005761708
334	5.9757329
335	5.945854236
336	5.916124965
337	5.886544341
338	5.85711162
339	5.827826063
340	5.798686933
341	5.769693499
342	5.740845032
343	5.712140808
344	5.683580104
345	5.655162204
346	5.626886394
347	5.598751963
348	5.570758204
349	5.542904413
350	5.515189892
351	5.487613943
352	5.460175874
353	5.432874995
354	5.405710621
355	5.378682068
356	5.351788658
357	5.325029716
358	5.298404568
359	5.271912545
360	5.245552983
361	5.219325219
362	5.193228593
363	5.167262451
364	5.141426139
365	5.115719009
366	5.090140415
367	5.064689713
368	5.039366265
369	5.014169435
370	4.989098588
371	4.964153096
372	4.939332331
373	4.91463567
374	4.890062492
375	4.86561218
376	4.841284119
377	4.817077699
378	4.792992311
379	4.76902735
380	4.745182214
381	4.721456304
382	4.697849023
383	4.674359778
384	4.65098798
385	4.62773304
386	4.604594376
387	4.581571404
388	4.558663548
389	4.535870231
390	4.51319088
391	4.490624926
392	4.468171802
393	4.445830943
394	4.423601789
395	4.401483781
396	4.379476362
397	4.357578981
398	4.335791087
399	4.314112132
400	4.292541571
401	4.271078864
402	4.24972347
403	4.228474853
404	4.20733248
405	4.186295818
406	4.165364339
407	4.144537518
408	4.123814831
409	4.103195757
410	4.082679779
411	4.06226638
412	4.041955049
413	4.021745274
414	4.001636548
415	3.981628366
416	3.961720224
417	3.941911624
418	3.922202066
419	3.902591056
420	3.883078101
421	3.863662711
422	3.844344398
423	3.825122676
424	3.805997064
425	3.786967079
426	3.768032244
427	3.749192083
428	3.730446123
429	3.711793893
430	3.693234924
431	3.674768749
432	3.656394906
433	3.638112932
434	3.619922368
435	3.601822756
436	3.583813643
437	3.565894575
438	3.548065103
439	3.530324777
440	3.512673154
441	3.495109789
442	3.47763424
443	3.460246069
444	3.442944839
445	3.425730115
446	3.408601465
447	3.391558458
448	3.374600666
449	3.357727663
450	3.340939026
451	3.324234331
452	3.307613159
453	3.291075094
454	3.274619719
455	3.258246621
456	3.241955388
457	3.225745611
458	3.209616884
459	3.1935688
460	3.177600956
461	3.161712952
462	3.145904387
463	3.130174866
464	3.114523992
465	3.098951372
466	3.083456616
467	3.068039333
468	3.052699136
469	3.037435641
470	3.022248463
471	3.007137221
472	2.992101535
473	2.977141028
474	2.962255323
475	2.947444047
476	2.932706827
477	2.918043293
478	2.903453077
479	2.888935812
480	2.874491133
481	2.860118678
482	2.845818085
483	2.831588995
484	2.81743105
485	2.803343895
486	2.789327176
487	2.775380541
488	2.761503638
489	2.74769612
490	2.73395764
491	2.720287852
492	2.706686413
493	2.693152981
494	2.679687217
495	2.666288781
496	2.652957337
497	2.639692551
498	2.626494089
499	2.613361618
500	2.600294811
501	2.587293337
502	2.57435687
503	2.561485086
504	2.548677661
505	2.535934273
506	2.523254602
507	2.510638329
508	2.498085138
509	2.485594713
510	2.473166739
511	2.460800906
512	2.448496902
513	2.436254417
514	2.424073146
515	2.41195278
516	2.399893016
517	2.387893552
518	2.375954084
519	2.364074314
520	2.352253943
521	2.340492673
522	2.32879021
523	2.317146259
524	2.305560528
525	2.294032726
526	2.282562563
527	2.27114975
528	2.259794002
529	2.248495032
