iter	Passed	Remaining
0	0	702
1	0	488
2	0	445
3	1	453
4	1	440
5	1	443
6	2	431
7	2	434
8	2	434
9	2	429
10	3	433
11	3	438
12	3	436
13	4	439
14	4	432
15	4	425
16	4	426
17	5	427
18	5	429
19	5	429
20	6	425
21	6	423
22	6	424
23	6	420
24	6	412
25	7	414
26	7	411
27	7	413
28	8	415
29	8	413
30	8	412
31	9	414
32	9	417
33	9	414
34	9	412
35	10	414
36	10	412
37	10	413
38	11	415
39	11	417
40	11	417
41	12	417
42	12	416
43	12	417
44	12	416
45	13	414
46	13	414
47	13	413
48	13	414
49	14	417
50	14	416
51	14	414
52	15	414
53	15	413
54	15	413
55	16	414
56	16	412
57	16	412
58	16	413
59	17	411
60	17	408
61	17	407
62	17	408
63	18	405
64	18	406
65	18	405
66	18	405
67	19	406
68	19	406
69	19	406
70	20	406
71	20	406
72	20	406
73	21	406
74	21	405
75	21	405
76	21	405
77	22	406
78	22	406
79	22	406
80	23	406
81	23	406
82	23	406
83	24	405
84	24	404
85	24	404
86	24	403
87	25	403
88	25	403
89	25	403
90	26	402
91	26	401
92	26	402
93	26	402
94	27	402
95	27	403
96	27	403
97	28	403
98	28	403
99	28	403
100	29	402
101	29	403
102	29	401
103	29	401
104	30	401
105	30	401
106	30	401
107	31	402
108	31	401
109	31	401
110	31	400
111	32	400
112	32	400
113	32	400
114	33	400
115	33	400
116	33	399
117	34	399
118	34	399
119	34	399
120	35	399
121	35	399
122	35	398
123	35	398
124	36	397
125	36	397
126	36	397
127	37	397
128	37	396
129	37	396
130	37	396
131	38	396
132	38	396
133	38	396
134	39	395
135	39	395
136	39	395
137	40	395
138	40	394
139	40	394
140	40	393
141	41	393
142	41	393
143	41	393
144	42	393
145	42	392
146	42	392
147	42	392
148	43	391
149	43	390
150	43	390
151	44	390
152	44	390
153	44	389
154	44	389
155	45	389
156	45	389
157	45	388
158	46	388
159	46	387
160	46	387
161	46	386
162	47	386
163	47	386
164	47	385
165	47	385
166	48	385
167	48	384
168	48	384
169	49	383
170	49	383
171	49	383
172	49	383
173	50	383
174	50	382
175	50	382
176	51	382
177	51	381
178	51	381
179	51	381
180	52	380
181	52	380
182	52	380
183	53	380
184	53	380
185	53	380
186	54	380
187	54	380
188	54	380
189	55	380
190	55	379
191	55	379
192	55	379
193	56	379
194	56	378
195	56	378
196	57	378
197	57	378
198	57	378
199	58	377
200	58	377
201	58	377
202	58	376
203	59	376
204	59	376
205	59	376
206	60	376
207	60	376
208	60	375
209	61	375
210	61	375
211	61	375
212	62	375
213	62	375
214	62	375
215	63	375
216	63	375
217	63	374
218	64	374
219	64	374
220	64	374
221	65	374
222	65	374
223	65	373
224	65	373
225	66	373
226	66	373
227	66	373
228	67	372
229	67	372
230	67	372
231	68	371
232	68	371
233	68	371
234	68	371
235	69	370
236	69	371
237	69	371
238	70	370
239	70	370
240	70	370
241	71	370
242	71	369
243	71	369
244	72	369
245	72	369
246	72	369
247	73	368
248	73	368
249	73	368
250	73	367
251	74	367
252	74	366
253	74	366
254	74	365
255	75	365
256	75	365
257	75	364
258	76	364
259	76	364
260	76	364
261	77	364
262	77	364
263	77	364
264	78	363
265	78	363
266	78	363
267	78	363
268	79	363
269	79	362
270	80	363
271	80	363
272	80	362
273	81	362
274	81	362
275	81	362
276	82	362
277	82	361
278	82	361
279	82	361
280	83	361
281	83	360
282	83	360
283	84	360
284	84	360
285	84	359
286	85	359
287	85	359
288	85	359
289	86	358
290	86	358
291	86	358
292	86	357
293	87	357
294	87	356
295	87	356
296	87	356
297	88	355
298	88	355
299	88	354
300	89	354
301	89	354
302	89	353
303	89	353
304	90	353
305	90	352
306	90	352
307	90	351
308	91	351
309	91	350
310	91	350
311	91	350
312	92	349
313	92	349
314	92	349
315	93	348
316	93	348
317	93	348
318	93	347
319	94	347
320	94	347
321	94	346
322	95	346
323	95	346
324	95	345
325	95	345
326	96	345
327	96	344
328	96	344
329	97	344
330	97	343
331	97	343
332	97	342
333	98	342
334	98	342
335	98	341
336	98	341
337	99	341
338	99	341
339	100	341
340	100	340
341	100	340
342	100	340
343	101	339
344	101	339
345	101	338
346	101	338
347	102	338
348	102	338
349	102	337
350	103	337
351	103	337
352	103	336
353	103	336
354	104	336
355	104	335
356	104	335
357	105	335
358	105	334
359	105	334
360	105	334
361	106	333
362	106	333
363	106	333
364	106	332
365	107	332
366	107	332
367	107	331
368	108	331
369	108	331
370	108	330
371	108	330
372	109	329
373	109	329
374	109	329
375	110	328
376	110	328
377	110	328
378	110	327
379	111	327
380	111	327
381	111	326
382	111	326
383	112	325
384	112	325
385	112	325
386	112	324
387	113	324
388	113	324
389	113	323
390	114	323
391	114	323
392	114	323
393	114	322
394	115	322
395	115	322
396	115	321
397	115	321
398	116	320
399	116	320
400	116	320
401	117	319
402	117	319
403	117	319
404	117	318
405	118	318
406	118	318
407	118	317
408	119	317
409	119	316
410	119	316
411	119	316
412	120	316
413	120	315
414	120	315
415	120	315
416	121	314
417	121	314
418	121	314
419	122	313
420	122	313
421	122	312
422	122	312
423	123	312
424	123	311
425	123	311
426	123	311
427	124	311
428	124	310
429	124	310
430	124	309
431	125	309
432	125	309
433	125	308
434	125	308
435	126	307
436	126	307
437	126	307
438	127	307
439	127	306
440	127	306
441	127	306
442	128	305
443	128	305
444	128	305
445	128	304
446	129	304
447	129	304
448	129	303
449	130	303
450	130	303
451	130	302
452	130	302
453	131	302
454	131	301
455	131	301
456	131	300
457	132	300
458	132	300
459	132	300
460	132	299
461	133	299
462	133	299
463	133	298
464	134	298
465	134	298
466	134	297
467	134	297
468	135	297
469	135	296
470	135	296
471	136	296
472	136	295
473	136	295
474	136	295
475	137	295
476	137	294
477	137	294
478	138	294
479	138	293
480	138	293
481	138	293
482	139	293
483	139	292
484	139	292
485	139	292
486	140	291
487	140	291
488	140	291
489	141	290
490	141	290
491	141	290
492	141	289
493	142	289
494	142	289
495	142	288
496	143	288
497	143	288
498	143	288
499	143	287
500	144	287
501	144	287
502	144	286
503	144	286
504	145	286
505	145	285
506	145	285
507	146	285
508	146	285
509	146	284
510	147	284
511	147	284
512	147	284
513	148	283
514	148	283
515	148	283
516	148	282
517	149	282
518	149	282
519	149	281
520	149	281
521	150	281
522	150	280
523	150	280
524	151	280
525	151	280
526	151	279
527	151	279
528	152	279
529	152	278
530	152	278
531	152	278
532	153	278
533	153	277
534	153	277
535	154	277
536	154	277
537	154	276
538	155	276
539	155	276
540	155	275
541	155	275
542	156	275
543	156	275
544	156	274
545	157	274
546	157	274
547	157	273
548	157	273
549	158	273
550	158	273
551	158	272
552	159	272
553	159	272
554	159	271
555	159	271
556	160	271
557	160	270
558	160	270
559	160	270
560	161	269
561	161	269
562	161	269
563	162	268
564	162	268
565	162	268
566	162	268
567	163	267
568	163	267
569	163	267
570	164	266
571	164	266
572	164	266
573	165	266
574	165	266
575	165	265
576	165	265
577	166	265
578	166	264
579	166	264
580	167	264
581	167	264
582	167	263
583	168	263
584	168	263
585	168	262
586	168	262
587	169	262
588	169	261
589	169	261
590	170	261
591	170	261
592	170	260
593	170	260
594	171	260
595	171	260
596	171	259
597	171	259
598	172	259
599	172	258
600	172	258
601	173	258
602	173	257
603	173	257
604	173	257
605	174	256
606	174	256
607	174	256
608	175	256
609	175	255
610	175	255
611	175	255
612	176	254
613	176	254
614	176	254
615	177	254
616	177	253
617	177	253
618	177	253
619	178	252
620	178	252
621	178	252
622	178	251
623	179	251
624	179	251
625	179	251
626	180	250
627	180	250
628	180	250
629	180	249
630	181	249
631	181	249
632	181	248
633	182	248
634	182	248
635	182	248
636	182	247
637	183	247
638	183	247
639	183	246
640	183	246
641	184	246
642	184	245
643	184	245
644	184	245
645	185	244
646	185	244
647	185	244
648	186	243
649	186	243
650	186	243
651	186	243
652	187	242
653	187	242
654	187	242
655	187	241
656	188	241
657	188	241
658	188	240
659	189	240
660	189	240
661	189	240
662	189	239
663	190	239
664	190	239
665	190	238
666	191	238
667	191	238
668	191	238
669	191	237
670	192	237
671	192	237
672	192	236
673	192	236
674	193	236
675	193	235
676	193	235
677	193	235
678	194	234
679	194	234
680	194	234
681	194	233
682	195	233
683	195	233
684	195	232
685	196	232
686	196	232
687	196	232
688	196	231
689	197	231
690	197	231
691	197	230
692	197	230
693	198	230
694	198	229
695	198	229
696	198	229
697	199	228
698	199	228
699	199	228
700	200	228
701	200	227
702	200	227
703	200	227
704	201	226
705	201	226
706	201	226
707	202	226
708	202	225
709	202	225
710	202	225
711	203	224
712	203	224
713	203	224
714	204	223
715	204	223
716	204	223
717	204	223
718	205	222
719	205	222
720	205	222
721	205	221
722	206	221
723	206	221
724	206	221
725	207	220
726	207	220
727	207	220
728	207	219
729	208	219
730	208	219
731	208	218
732	208	218
733	209	218
734	209	218
735	209	217
736	210	217
737	210	217
738	210	216
739	210	216
740	211	216
741	211	215
742	211	215
743	211	215
744	212	215
745	212	214
746	212	214
747	212	214
748	213	213
749	213	213
750	213	213
751	214	212
752	214	212
753	214	212
754	214	212
755	215	211
756	215	211
757	215	211
758	215	210
759	216	210
760	216	210
761	216	209
762	217	209
763	217	209
764	217	209
765	217	208
766	218	208
767	218	208
768	218	207
769	218	207
770	219	207
771	219	206
772	219	206
773	219	206
774	220	206
775	220	205
776	220	205
777	221	205
778	221	204
779	221	204
780	221	204
781	222	203
782	222	203
783	222	203
784	222	203
785	223	202
786	223	202
787	223	202
788	223	201
789	224	201
790	224	201
791	224	201
792	225	200
793	225	200
794	225	200
795	226	199
796	226	199
797	226	199
798	226	199
799	227	198
800	227	198
801	227	198
802	228	197
803	228	197
804	228	197
805	228	197
806	229	196
807	229	196
808	229	196
809	229	195
810	230	195
811	230	195
812	230	195
813	231	194
814	231	194
815	231	194
816	231	193
817	232	193
818	232	193
819	232	192
820	232	192
821	233	192
822	233	192
823	233	191
824	234	191
825	234	191
826	234	190
827	234	190
828	235	190
829	235	190
830	235	189
831	235	189
832	236	189
833	236	188
834	236	188
835	237	188
836	237	187
837	237	187
838	237	187
839	238	187
840	238	186
841	238	186
842	238	186
843	239	185
844	239	185
845	239	185
846	240	185
847	240	184
848	240	184
849	240	184
850	241	183
851	241	183
852	241	183
853	241	183
854	242	182
855	242	182
856	242	182
857	243	181
858	243	181
859	243	181
860	243	180
861	244	180
862	244	180
863	244	180
864	244	179
865	245	179
866	245	179
867	245	178
868	245	178
869	246	178
870	246	177
871	246	177
872	247	177
873	247	177
874	247	176
875	247	176
876	248	176
877	248	176
878	248	175
879	249	175
880	249	175
881	249	174
882	249	174
883	250	174
884	250	174
885	250	173
886	251	173
887	251	173
888	251	173
889	252	172
890	252	172
891	252	172
892	252	171
893	253	171
894	253	171
895	253	171
896	254	170
897	254	170
898	254	170
899	254	169
900	255	169
901	255	169
902	255	169
903	256	168
904	256	168
905	256	168
906	256	168
907	257	167
908	257	167
909	257	167
910	258	166
911	258	166
912	258	166
913	258	165
914	259	165
915	259	165
916	259	165
917	259	164
918	260	164
919	260	164
920	260	163
921	260	163
922	261	163
923	261	163
924	261	162
925	262	162
926	262	162
927	262	161
928	262	161
929	263	161
930	263	161
931	263	160
932	264	160
933	264	160
934	264	159
935	264	159
936	265	159
937	265	159
938	265	158
939	266	158
940	266	158
941	266	157
942	266	157
943	267	157
944	267	157
945	267	156
946	267	156
947	268	156
948	268	155
949	268	155
950	269	155
951	269	155
952	269	154
953	269	154
954	270	154
955	270	153
956	270	153
957	271	153
958	271	153
959	271	152
960	271	152
961	272	152
962	272	151
963	272	151
964	272	151
965	273	151
966	273	150
967	273	150
968	273	150
969	274	149
970	274	149
971	274	149
972	275	148
973	275	148
974	275	148
975	275	148
976	276	147
977	276	147
978	276	147
979	276	146
980	277	146
981	277	146
982	277	146
983	278	145
984	278	145
985	278	145
986	278	144
987	279	144
988	279	144
989	279	144
990	279	143
991	280	143
992	280	143
993	280	142
994	280	142
995	281	142
996	281	142
997	281	141
998	282	141
999	282	141
1000	282	140
1001	282	140
1002	283	140
1003	283	140
1004	283	139
1005	284	139
1006	284	139
1007	284	138
1008	284	138
1009	285	138
1010	285	138
1011	285	137
1012	285	137
1013	286	137
1014	286	136
1015	286	136
1016	286	136
1017	287	136
1018	287	135
1019	287	135
1020	288	135
1021	288	134
1022	288	134
1023	288	134
1024	289	134
1025	289	133
1026	289	133
1027	290	133
1028	290	132
1029	290	132
1030	290	132
1031	291	132
1032	291	131
1033	291	131
1034	291	131
1035	292	130
1036	292	130
1037	292	130
1038	293	130
1039	293	129
1040	293	129
1041	293	129
1042	294	128
1043	294	128
1044	294	128
1045	294	128
1046	295	127
1047	295	127
1048	295	127
1049	296	126
1050	296	126
1051	296	126
1052	296	126
1053	297	125
1054	297	125
1055	297	125
1056	297	124
1057	298	124
1058	298	124
1059	298	123
1060	298	123
1061	299	123
1062	299	123
1063	299	122
1064	299	122
1065	300	122
1066	300	121
1067	300	121
1068	301	121
1069	301	121
1070	301	120
1071	301	120
1072	302	120
1073	302	119
1074	302	119
1075	303	119
1076	303	119
1077	303	118
1078	303	118
1079	304	118
1080	304	118
1081	304	117
1082	305	117
1083	305	117
1084	305	116
1085	305	116
1086	306	116
1087	306	116
1088	306	115
1089	306	115
1090	307	115
1091	307	114
1092	307	114
1093	308	114
1094	308	114
1095	308	113
1096	308	113
1097	309	113
1098	309	112
1099	309	112
1100	309	112
1101	310	112
1102	310	111
1103	310	111
1104	311	111
1105	311	110
1106	311	110
1107	311	110
1108	312	110
1109	312	109
1110	312	109
1111	312	109
1112	313	108
1113	313	108
1114	313	108
1115	314	108
1116	314	107
1117	314	107
1118	314	107
1119	315	106
1120	315	106
1121	315	106
1122	315	106
1123	316	105
1124	316	105
1125	316	105
1126	316	104
1127	317	104
1128	317	104
1129	317	104
1130	318	103
1131	318	103
1132	318	103
1133	318	102
1134	319	102
1135	319	102
1136	319	102
1137	320	101
1138	320	101
1139	320	101
1140	320	100
1141	321	100
1142	321	100
1143	321	100
1144	321	99
1145	322	99
1146	322	99
1147	322	98
1148	322	98
1149	323	98
1150	323	98
1151	323	97
1152	324	97
1153	324	97
1154	324	96
1155	324	96
1156	325	96
1157	325	96
1158	325	95
1159	325	95
1160	326	95
1161	326	94
1162	326	94
1163	326	94
1164	327	94
1165	327	93
1166	327	93
1167	328	93
1168	328	92
1169	328	92
1170	328	92
1171	329	92
1172	329	91
1173	329	91
1174	329	91
1175	330	90
1176	330	90
1177	330	90
1178	330	90
1179	331	89
1180	331	89
1181	332	89
1182	332	89
1183	332	88
1184	332	88
1185	333	88
1186	333	87
1187	333	87
1188	334	87
1189	334	87
1190	334	86
1191	335	86
1192	335	86
1193	335	86
1194	336	85
1195	336	85
1196	336	85
1197	336	84
1198	337	84
1199	337	84
1200	337	84
1201	338	83
1202	338	83
1203	338	83
